,,,,,,,,,Inspection information,,,,,,
Provision type,Registration date,Registration status,Ofsted region,Government Office Region,Local authority,Parliamentary constituency,Sector,Organisation which owns the provider,Event type,Inspection date,Publication date,Event number,Overall experiences and progress of children and young people,How well children and young people are helped and protected,The effectiveness of leaders and managers
Secure Training Centre,11/11/2014,Active,South East,South East,Medway,Rochester and Strood,Private,,Full inspection,03/12/2018,07/12/2018,10082322,Requires Improvement to be good,Requires Improvement to be good,Requires Improvement to be good
Secure Training Centre,11/11/2014,Active,South East,South East,Milton Keynes,Milton Keynes South,Private,,Full inspection,05/06/2018,06/08/2018,10049135,Requires Improvement to be good,Requires Improvement to be good,Requires Improvement to be good
Secure Training Centre,11/11/2014,Active,East Midlands,East Midlands,Northamptonshire,Daventry,Private,,Full inspection,02/10/2018,27/11/2018,10049136,Requires Improvement to be good,Requires Improvement to be good,Requires Improvement to be good
Residential Holiday Scheme for Disabled Children,09/08/2013,Active,East of England,East of England,Norfolk,Norwich North,Voluntary,Break,Full inspection,20/08/2018,11/09/2018,10051811,Outstanding,Outstanding,Outstanding
Residential Holiday Scheme for Disabled Children,09/08/2013,Active,East Midlands,East Midlands,Leicestershire,South Leicestershire,Voluntary,Heswall Disabled Children's Holiday Fund,Full inspection,15/08/2018,29/08/2018,10051808,Outstanding,Outstanding,Outstanding
Residential Holiday Scheme for Disabled Children,09/08/2013,Active,North West,North West,Lancashire,Morecambe and Lunesdale,Voluntary,The Newman Trust For The Handicapped,Full inspection,17/08/2018,13/09/2018,10051809,Outstanding,Outstanding,Outstanding
Residential Holiday Scheme for Disabled Children,25/04/2014,Active,South West,South West,North Somerset,North Somerset,Voluntary,Action For Children,Full inspection,29/10/2018,20/11/2018,10051814,Good,Good,Good
Residential Holiday Scheme for Disabled Children,13/04/2015,Active,London,London,Islington,Islington South and Finsbury,Voluntary,,Full inspection,22/03/2019,25/04/2019,10051826,Good,Good,Good
Residential Holiday Scheme for Disabled Children,11/06/2015,Active,East Midlands,East Midlands,Nottingham,Nottingham South,Voluntary,,Full inspection,14/08/2018,14/09/2018,10051810,Outstanding,Outstanding,Outstanding
Residential Holiday Scheme for Disabled Children,23/10/2015,Active,South East,South East,Hampshire,Havant,Private,;Over The Wall 03713232, 1075361;,Full inspection,04/10/2018,05/11/2018,10051813,Outstanding,Outstanding,Outstanding
Children's home,04/09/2015,Active,East of England,East of England,Norfolk,South West Norfolk,Private,Unique Care Homes Support Limited,Full inspection,12/09/2018,28/09/2018,10050924,Good,Requires improvement to be good,Good
Children's home,04/09/2015,Active,East of England,East of England,Norfolk,South West Norfolk,Private,Unique Care Homes Support Limited,Interim inspection,10/01/2019,01/02/2019,10051698,Sustained effectiveness,,
Children's home,10/08/2015,Active,North West,North West,Cheshire West and Chester,Eddisbury,Private,Care 4 Children Residential Services Ltd,Full inspection,08/05/2018,06/06/2018,10050917,Outstanding,Outstanding,Outstanding
Children's home,18/05/2015,Active,;North East, Yorkshire and the Humber;,North East,Northumberland,Wansbeck,Local Authority,Northumberland County Council,Full inspection,30/05/2018,26/06/2018,10050898,Good,Good,Outstanding
Children's home,08/10/2015,Active,South West,South West,Gloucestershire,Gloucester,Private,Carbrey Care Ltd,Full inspection,25/07/2018,24/08/2018,10050939,Good,Good,Requires improvement to be good
Children's home,01/07/2015,Active,West Midlands,West Midlands,Worcestershire,Worcester,Local Authority,Worcestershire County Council,Full inspection,20/11/2018,13/12/2018,10050905,Good,Good,Good
Children's home,24/09/2015,Active,North West,North West,Manchester,;Manchester, Gorton;,Private,Cambian Childcare Limited,Full inspection,30/05/2018,26/06/2018,10050930,Good,Good,Good
Children's home,16/11/2015,Active,West Midlands,West Midlands,Shropshire,North Shropshire,Private,Cambian Childcare Limited,Full inspection,21/01/2019,18/02/2019,10050957,Outstanding,Outstanding,Outstanding
Children's home,06/01/2016,Active,North West,North West,Bolton,Bolton South East,Private,Cambian Childcare Limited,Full inspection,26/09/2018,23/10/2018,10050978,Good,Good,Requires improvement to be good
Children's home,21/01/2016,Active,West Midlands,West Midlands,Shropshire,Shrewsbury and Atcham,Private,Cambian Childcare Limited,Full inspection,11/07/2018,15/08/2018,10050988,Good,Good,Good
Children's home,14/10/2015,Active,North West,North West,Manchester,Blackley and Broughton,Private,Cambian Childcare Limited,Full inspection,10/07/2018,31/07/2018,10050947,Good,Good,Requires improvement to be good
Children's home,14/10/2015,Active,North West,North West,Manchester,Blackley and Broughton,Private,Cambian Childcare Limited,Interim inspection,05/03/2019,26/03/2019,10008462,Declined effectiveness,,
Children's home,07/10/2015,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,North Yorkshire,Selby and Ainsty,Private,Cambian Childcare Limited,Full inspection,05/06/2018,13/07/2018,10050937,Good,Good,Requires improvement to be good
